ContactID,ApplicationStatusDate,AcademicCurriculum,ApplicationsStatus,AcademicTerm,AcademicYear,FamilyEducationLevel,ApplicationSubmittedDate,CreatedTime,AcademicProgram,AcademicDegree,ClassLevel,CollegeAttend,CommonApp,FAFSAreceivedDate,Population,TransferCredits
945000001083453,2014-10-09,"AE Student Dir Comp","Withdrawn Admin No Dec",Spring,2015,,"2014-08-10 22:00:00","2017-04-20 11:36:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083455,2015-08-20,"ES Student Dir Comp",Confirmed,Fall,2015,,"2015-08-04 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083457,2015-08-19,"AE Student Dir Comp","Confirmed Withdrew",Fall,2015,,"2015-07-07 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Freshman,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083457,2015-08-19,"AE Student Dir Comp",Confirmed,Fall,2015,,"2015-08-18 22:00:00","2017-04-20 11:38:00","On Campus Undergraduate","Bachelor of Arts",Freshman,Returning,,1900-01-00,Readmit,NULL
945000001083457,2015-06-04,"AE Student Dir Comp","Withdrawn Admin No Dec",Summer,2015,,"2014-10-06 22:00:00","2017-04-20 11:37:00","Baccalaureate Limited Residency","Bachelor of Arts",Freshman,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083457,2015-01-08,"AE Student Dir Comp","Defer No Decision Next Term",Spring,2015,,"2014-10-06 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Freshman,"New Student",,1900-01-00,Transfer,NULL
945000001083457,2014-06-04,"AE Student Dir Comp",Confirmed,Fall,2014,,"2014-06-03 22:00:00","2017-04-20 11:36:00","On Campus Undergraduate","Bachelor of Arts",Freshman,Returning,,1900-01-00,Readmit,NULL
945000001083459,2014-08-08,"Social Justice Human",Confirmed,Fall,2014,,"2014-06-30 22:00:00","2017-04-20 11:35:00","Masters On Campus","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083461,2017-08-31,CounClinMntlHlth,"Confirmed Withdrew",Fall,2017,,"2016-02-02 22:00:00","2017-04-20 11:41:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083461,2016-03-21,CounClinMntlHlth,"Deferred Next Term",Fall,2016,,"2016-02-02 22:00:00","2017-04-20 11:39:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083463,2013-12-17,"ED Student Dir Comp",Confirmed,Spring,2014,,"2013-10-17 22:00:00","2017-04-20 11:35:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083465,2014-05-02,"ES Student Dir Comp",Confirmed,Fall,2014,,"2014-02-19 22:00:00","2017-04-20 11:35:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083467,2014-01-16,"ED Elementary Ed","Confirmed Withdrew",Spring,2014,,"2012-06-27 22:00:00","2017-04-20 11:33:00","Baccalaureate Limited Residency","BA Teacher Certification",Sophomore,Returning,,1900-01-00,Readmit,NULL
945000001083469,2016-03-03,CounClinMntlHlth,Denied,Fall,2016,,"2016-02-11 22:00:00","2017-04-20 11:39:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083471,2015-03-24,"ES Student Dir Comp","Confirmed Withdrew",Fall,2015,,"2014-03-27 22:00:00","2017-04-20 11:38:00","On Campus Undergraduate","Bachelor of Arts",Freshman,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083471,2014-09-09,"ES Student Dir Comp","Confirmed Deferred",Spring,2015,,"2014-03-27 22:00:00","2017-04-20 11:36:00","On Campus Undergraduate","Bachelor of Arts",,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083471,2014-06-03,"ES Student Dir Comp","Confirmed Deferred",Fall,2014,,"2014-03-27 22:00:00","2017-04-20 11:36:00","On Campus Undergraduate","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083473,2014-01-13,"CP Student Dir Comp",Confirmed,Spring,2014,,"2013-11-21 22:00:00","2017-04-20 11:35:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083475,2014-06-16,EduLeaderPrinc,Confirmed,Fall,2014,,"2014-05-06 22:00:00","2017-04-20 11:35:00","MEd Low Residency","Master of Education",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083477,2015-07-13,"ED Sustainability Ed","Confirmed Withdrew",Fall,2016,,"2015-02-03 22:00:00","2017-04-20 11:41:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,Returning,,1900-01-00,Doctoral,NULL
945000001083477,2015-07-13,"ED Sustainability Ed","Confirmed Deferred",Fall,2015,,"2015-02-03 22:00:00","2017-04-20 11:37:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083479,2014-04-14,"ED Elementary Ed","Withdrawn Admin No Dec",Fall,2014,,"2013-11-03 22:00:00","2017-04-20 11:34:00","On Campus Undergraduate","BA Teacher Certification",,"New Student",,1900-01-00,"1st Time College Student",NULL
945000001083481,2016-08-18,EduLeaderPrinc,"Withdraw No Decision",Fall,2016,,"2016-08-08 22:00:00","2017-04-20 19:44:00","MEd Low Residency","Master of Education",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083483,2014-04-09,"AE Student Dir Comp",Withdrawn,Fall,2014,,"2014-02-22 22:00:00","2017-04-20 11:34:00","On Campus Undergraduate","Bachelor of Arts",Freshman,"New Student",,1900-01-00,"1st Time College Student",NULL
945000001083485,2015-06-03,"AE Student Dir Comp","Withdrawn Administrative",Fall,2015,,"2014-07-16 22:00:00","2017-04-20 11:37:00","On Campus Undergraduate","Bachelor of Arts",Freshman,"New Student",,1900-01-00,"Hiatus 1st Time Coll Student",NULL
945000001083485,2014-08-13,"AE Student Dir Comp","Defer No Decision Next Year",Fall,2014,,"2014-07-16 22:00:00","2017-04-20 11:35:00","On Campus Undergraduate","Bachelor of Arts",,"New Student",,1900-01-00,"1st Time College Student",NULL
945000001083487,2016-05-05,"ED Sustainability Ed",Confirmed,Fall,2016,,"2016-02-11 22:00:00","2017-04-20 11:40:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083489,2016-04-28,CoCplFamThera,Confirmed,Fall,2016,,"2015-10-19 22:00:00","2017-04-20 11:40:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083489,2015-12-22,CoCplFamThera,"Defer No Decision Next Term",Spring,2016,,"2015-10-19 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Science",,"New Student",,1900-01-00,Graduate,NULL
945000001083491,2014-03-05,"AE Student Dir Comp",Confirmed,Fall,2014,,"2013-07-22 22:00:00","2017-04-20 11:35:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083491,2014-01-08,"AE Student Dir Comp","Confirmed Deferred",Spring,2014,,"2013-07-22 22:00:00","2017-04-20 11:33:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083493,2018-09-07,"ED Sustainability Ed",Confirmed,Fall,2018,,"2018-08-31 12:59:00","2018-08-31 12:55:00","PhD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083493,2014-05-02,CounClinMntlHlth,Confirmed,Summer,2014,,"2014-04-22 22:00:00","2017-04-20 11:34:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083495,2015-01-14,"HD Student Dir Comp",Confirmed,Spring,2015,,"2014-12-11 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Freshman,Returning,,1900-01-00,Readmit,NULL
945000001083497,2016-03-31,CounClinMntlHlth,Confirmed,Fall,2016,,"2016-02-09 22:00:00","2017-04-20 11:40:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083499,2015-07-08,CounClinMntlHlth,Confirmed,Fall,2015,,"2015-06-02 22:00:00","2017-04-20 11:37:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083501,2015-01-14,"ES Student Dir Comp",Confirmed,Spring,2015,,"2014-12-28 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Sophomore,"New Student",,1900-01-00,Transfer,NULL
945000001083503,2015-06-02,"ED Student Dir Comp",Confirmed,Fall,2015,,"2015-01-08 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083505,2014-03-17,CounClinMntlHlth,"Confirmed Withdrew",Fall,2014,,"2013-12-03 22:00:00","2017-04-20 11:37:00","Masters Limited Residency","Master of Science",Graduate,Returning,,1900-01-00,Graduate,NULL
945000001083505,2014-01-08,"CPSomatic Psychology","Confirmed Deferred",Spring,2014,,"2013-12-03 22:00:00","2017-04-20 11:37:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083507,2014-12-08,"ED Secondary Ed",Confirmed,Spring,2015,,"2014-11-18 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","BA Teacher Certification",Freshman,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083507,2013-11-25,"ED Secondary Ed",Withdrawn,Spring,2014,,"2013-06-04 22:00:00","2017-04-20 11:33:00","Baccalaureate Limited Residency","BA Teacher Certification",Freshman,Returning,,1900-01-00,"Hiatus Transfer",NULL
945000001083509,2016-12-19,"ES Student Dir Comp",Confirmed,Spring,2017,,"2016-11-28 22:00:00","2017-04-20 11:41:00","Masters Limited Residency","Master of Arts",Graduate,Returning,,1900-01-00,Readmit,NULL
945000001083511,2016-04-21,"ED Student Dir Comp","Withdrawn Admin No Dec",Summer,2016,,"2016-03-13 22:00:00","2017-04-20 11:39:00","Baccalaureate Limited Residency","Bachelor of Arts",,"New Student",,1900-01-00,Transfer,NULL
945000001083513,2015-03-30,"HD Student Dir Comp",Confirmed,Summer,2015,,"2015-03-03 22:00:00","2017-04-20 11:39:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083515,2015-12-07,"ED Student Dir Comp",Confirmed,Spring,2016,,"2015-02-17 22:00:00","2017-04-20 11:39:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083515,2015-08-11,"ED Secondary Ed","Deferred Next Term",Fall,2015,,"2015-02-17 22:00:00","2017-04-20 11:37:00","Masters Limited Residency","Master of Education",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083517,2015-07-01,"AE Student Dir Comp",Confirmed,Fall,2015,,"2015-05-27 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083519,2014-11-24,"ED Student Dir Comp",Withdrawn,Spring,2015,,"2014-02-18 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Sophomore,Returning,,1900-01-00,Readmit,NULL
945000001083519,2014-05-12,"ED Student Dir Comp","Deferred Next Term",Summer,2014,,"2014-02-18 22:00:00","2017-04-20 11:34:00","Baccalaureate Limited Residency","Bachelor of Arts",Sophomore,Returning,,1900-01-00,Readmit,NULL
945000001083521,2016-06-27,EduLeaderPrinc,Confirmed,Fall,2016,,"2016-02-18 22:00:00","2017-04-20 19:44:00","MEd Low Residency","Master of Education",Graduate,Returning,,1900-01-00,Graduate,NULL
945000001083523,2016-05-23,"ED Sustainability Ed","Withdrawn Administrative",Fall,2016,,"2015-02-17 22:00:00","2017-04-20 11:39:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083523,2015-05-11,"ED Sustainability Ed","Deferred Next Year",Fall,2015,,"2015-02-17 22:00:00","2017-04-20 11:37:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083525,2016-12-22,"Arts & Humanities",Confirmed,Spring,2017,,"2016-12-15 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083527,2014-04-29,"AE Student Dir Comp",Confirmed,Fall,2014,,"2013-12-29 22:00:00","2017-04-20 11:35:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083529,2014-09-04,"EDSpecEd Cross Cat",Confirmed,Fall,2014,,"2014-07-28 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Post Bachelor's Certification",Freshman,"New Student",,1900-01-00,"Post Baccalaureate",NULL
945000001083529,2014-05-20,CounClinMntlHlth,Confirmed,Summer,2014,,"2014-03-02 22:00:00","2017-04-20 11:36:00","Masters Limited Residency",Nondegree,Graduate,"New Student",,1900-01-00,"Post Masters",NULL
945000001083531,2014-08-27,"ED Student Dir Comp",Confirmed,Fall,2014,,"2014-08-04 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083533,2015-11-16,CounClinMntlHlth,Confirmed,Spring,2016,,"2015-09-13 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083535,2016-05-10,"ED Sustainability Ed",Confirmed,Fall,2016,,"2016-04-04 22:00:00","2017-04-20 11:40:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083537,2016-06-16,"Humanities SDC",Confirmed,Summer,2016,,"2016-04-28 22:00:00","2017-04-20 19:44:00","Masters Limited Residency",Nondegree,Graduate,"New Student",,1900-01-00,"Post Masters",NULL
945000001083539,2015-11-19,ESEnvironmentlPolicy,"Confirmed Withdrew",Spring,2016,,"2014-09-10 22:00:00","2017-04-20 11:38:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083539,2015-08-21,ESEnvironmentlPolicy,"Confirm Defer Next Term",Fall,2015,,"2014-09-10 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083539,2015-06-16,ESEnvironmentlPolicy,"Defer No Decision Next Term",Spring,2015,,"2014-09-10 22:00:00","2017-04-20 11:37:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,Transfer,NULL
945000001083539,1900-01-00,"ES Student Dir Comp",Incomplete,Spring,2019,,"2018-08-29 13:34:00","2018-08-29 13:25:00","Baccalaureate Limited Residency","Bachelor of Arts",,,,1900-01-00,Transfer,NULL
945000001083541,2015-08-17,"Interdiscipl St SDC",Confirmed,Fall,2015,,"2015-08-11 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,"Hiatus Transfer",NULL
945000001083543,2018-08-22,"ED Sustainability Ed","Confirmed Withdrew",Fall,2018,,"2016-12-12 22:00:00","2017-05-18 10:42:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083543,2017-05-18,"ED Sustainability Ed","Deferred Next Year",Fall,2017,,"2016-12-12 22:00:00","2017-04-20 19:45:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083545,2014-11-24,"ES Student Dir Comp","Withdrawn Admin No Dec",Spring,2015,,"2014-06-16 22:00:00","2017-04-20 11:36:00","Baccalaureate Limited Residency","Bachelor of Arts",Freshman,Returning,,1900-01-00,Readmit,NULL
945000001083545,2014-09-09,"ES Student Dir Comp","Defer No Decision Next Term",Fall,2014,,"2014-06-16 22:00:00","2017-04-20 19:43:00","Baccalaureate Limited Residency","Bachelor of Arts",Freshman,Returning,,1900-01-00,Readmit,NULL
945000001083547,2016-08-23,"ED Student Dir Comp",Confirmed,Fall,2016,,"2016-08-22 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083547,2016-01-13,"ED Student Dir Comp",Confirmed,Spring,2016,,"2016-01-07 22:00:00","2017-04-20 11:39:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083547,2014-01-15,"ED Student Dir Comp","Withdrawn Admin No Dec",Spring,2014,,"2013-09-15 22:00:00","2017-04-20 11:33:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083549,2015-06-02,"ED Sustainability Ed","Confirmed Withdrew",Fall,2015,,"2014-02-18 22:00:00","2017-04-20 11:37:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083549,2014-10-07,"ED Sustainability Ed","Confirmed Deferred",Fall,2014,,"2014-02-18 22:00:00","2017-04-20 11:36:00","PHD Limited Residency","Doctor of Philosophy",Doctoral,"New Student",,1900-01-00,Doctoral,NULL
945000001083551,2014-05-16,"ES Student Dir Comp",Withdrawn,Summer,2014,,"2013-06-04 22:00:00","2017-04-20 11:34:00","Baccalaureate On Campus","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083553,2013-11-21,"CP Student Dir Comp",Confirmed,Spring,2014,,"2013-09-26 22:00:00","2017-04-20 11:33:00","Masters Limited Residency",Nondegree,Graduate,"New Student",,1900-01-00,"Post Masters",NULL
945000001083555,2015-01-16,"ES Student Dir Comp",Confirmed,Spring,2015,,"2015-01-15 22:00:00","2017-04-20 11:37:00","Baccalaureate Limited Residency","Bachelor of Arts",Junior,Returning,,1900-01-00,Readmit,NULL
945000001083557,2015-06-12,CounClinMntlHlth,"Withdraw No Decision",Fall,2015,,"2015-02-19 22:00:00","2017-04-20 11:37:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083559,2015-07-29,"ED Elementary Ed",Confirmed,Fall,2015,,"2015-06-07 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","BA Teacher Certification",Senior,Returning,,1900-01-00,Readmit,NULL
945000001083561,2014-06-09,CounAddiction,Withdrawn,Fall,2014,,"2014-04-06 22:00:00","2017-04-20 11:35:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083563,2016-10-27,Unknown,"Not Applied",Fall,2016,,"2016-10-26 22:00:00","2017-04-20 11:41:00",Unknown,Unknown,,Returning,,1900-01-00,,NULL
945000001083565,2017-03-20,CounClinMntlHlth,"Withdraw No Decision",Fall,2017,,"2017-01-22 22:00:00","2017-04-20 11:42:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083567,2017-10-30,"ES Student Dir Comp",Confirmed,Spring,2018,,"2017-03-20 22:00:00","2017-08-31 15:53:00","Masters Limited Residency","Master of Arts",Graduate,Returning,,1900-01-00,Readmit,NULL
945000001083567,2017-08-31,"ES Student Dir Comp","Deferred Next Term",Fall,2017,,"2017-03-20 22:00:00","2017-04-20 11:41:00","Masters Limited Residency","Master of Arts",Graduate,Returning,,1900-01-00,Readmit,NULL
945000001083569,2015-02-02,CounClinMntlHlth,Confirmed,Spring,2015,,"2015-02-01 22:00:00","2017-04-20 11:36:00","Masters Limited Residency","Post Master's Certification",Graduate,"New Student",,1900-01-00,"Post Masters",NULL
945000001083571,2013-12-20,"ES Student Dir Comp",Confirmed,Spring,2014,,"2013-12-16 22:00:00","2017-04-20 11:33:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083573,2018-02-22,EDSchoolGuidCounslng,"Withdrawn Admin No Dec",Spring,2018,,"2017-02-14 22:00:00","2017-09-07 14:12:00","MEd Low Residency","Master of Education",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083573,2017-09-07,EDSchoolGuidCounslng,"Defer No Decision Next Term",Fall,2017,,"2017-02-14 22:00:00","2017-04-20 11:41:00","MEd Low Residency","Master of Education",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083575,2015-06-01,"ED Student Dir Comp",Confirmed,Summer,2015,,"2014-08-24 22:00:00","2017-04-20 11:38:00","Baccalaureate Limited Residency","Bachelor of Arts",Sophomore,Returning,,1900-01-00,Readmit,NULL
945000001083575,2015-05-29,"ED Elementary Ed","Confirmed Deferred",Fall,2014,,"2014-08-24 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","BA Teacher Certification",Sophomore,Returning,,1900-01-00,Readmit,NULL
945000001083577,2014-01-24,"HD Counseling Psych",Confirmed,Spring,2014,,"2014-01-08 22:00:00","2017-04-20 11:37:00","Baccalaureate Limited Residency","Bachelor of Arts",Sophomore,Returning,,1900-01-00,Readmit,NULL
945000001083579,2016-01-14,"ES Student Dir Comp","Withdrawn Admin No Dec",Spring,2016,,"2015-08-04 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083581,2016-04-14,CounAddiction,Confirmed,Fall,2016,,"2016-07-06 22:00:00","2017-04-20 11:40:00","Masters Limited Residency","Master of Science",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083583,2016-12-19,"HD Student Dir Comp",Confirmed,Spring,2017,,"2016-11-22 22:00:00","2017-04-20 19:44:00","Baccalaureate Limited Residency","Bachelor of Arts",Senior,"New Student",,1900-01-00,Readmit,NULL
945000001083585,2015-11-23,Education,Denied,Spring,2016,,"2015-08-04 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083585,2015-08-19,Education,"Deferred Before Decision",Fall,2015,,"2015-08-04 22:00:00","2017-04-20 11:38:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083587,2016-07-25,"ED Secondary Ed",Confirmed,Fall,2016,,"2016-04-13 22:00:00","2017-04-20 11:40:00","Masters Limited Residency","Master of Education",Graduate,"New Student",,1900-01-00,Graduate,NULL
945000001083589,2017-07-26,"Arts & Humanities","Confirmed Withdrew",Fall,2017,,"2016-08-24 22:00:00","2017-04-20 11:41:00","Masters Limited Residency","Master of Arts",Graduate,"New Student",,1900-01-00,Graduate,NULL
